"HR_DATE","HR_KD_STORE","SUM(HR_NET_VALUE)"
2023-08-29 00:00:00.000,TH28,5967923.5
2023-08-30 00:00:00.000,TH28,4993388.18
2023-08-31 00:00:00.000,TH28,5475192.04
2023-09-01 00:00:00.000,TH28,5217844.99
2023-09-02 00:00:00.000,TH28,7241182.02
2023-09-03 00:00:00.000,TH28,7678677.43
2023-09-04 00:00:00.000,TH28,4756401.75
2023-09-05 00:00:00.000,TH28,6602985.61
2023-09-06 00:00:00.000,TH28,5986812.65
2023-09-07 00:00:00.000,TH28,4748938.61
2023-09-08 00:00:00.000,TH28,5149896.42
2023-09-09 00:00:00.000,TH28,6086852.25
2023-09-10 00:00:00.000,TH28,6107801.74
2023-09-11 00:00:00.000,TH28,3836232.38
2023-09-12 00:00:00.000,TH28,5941769.45
2023-09-13 00:00:00.000,TH28,5621772.05
2023-09-14 00:00:00.000,TH28,3644915.34
2023-09-15 00:00:00.000,TH28,4555002.8
2023-09-16 00:00:00.000,TH28,5551237.91
2023-09-17 00:00:00.000,TH28,5964973.09
2023-09-18 00:00:00.000,TH28,5282466.79
2023-09-19 00:00:00.000,TH28,3844591.89
2023-09-20 00:00:00.000,TH28,3754287.31
2023-09-21 00:00:00.000,TH28,4962191.91
2023-09-22 00:00:00.000,TH28,4609912.49
2023-09-23 00:00:00.000,TH28,5263976.53
2023-09-24 00:00:00.000,TH28,5860944.19
2023-09-25 00:00:00.000,TH28,4083710.71
2023-09-26 00:00:00.000,TH28,3388867.48
2023-09-27 00:00:00.000,TH28,5557776.41
2023-09-28 00:00:00.000,TH28,5560754
2023-09-29 00:00:00.000,TH28,5462025.2
2023-09-30 00:00:00.000,TH28,7718964.81
2023-10-01 00:00:00.000,TH28,6656003.59
2023-10-02 00:00:00.000,TH28,5339361.3
2023-10-03 00:00:00.000,TH28,4929974.74
2023-10-04 00:00:00.000,TH28,4819320.74
2023-10-05 00:00:00.000,TH28,4405327.12
2023-10-06 00:00:00.000,TH28,5210969.19
2023-10-07 00:00:00.000,TH28,5551989.07
2023-10-08 00:00:00.000,TH28,6161254.85
2023-10-09 00:00:00.000,TH28,5570617.16
2023-10-10 00:00:00.000,TH28,5184848.64
2023-10-11 00:00:00.000,TH28,5308813.5
2023-10-12 00:00:00.000,TH28,5635032.51
2023-10-13 00:00:00.000,TH28,5743684.75
2023-10-14 00:00:00.000,TH28,5527187.47
2023-10-15 00:00:00.000,TH28,5414749.55
2023-10-16 00:00:00.000,TH28,4497284.58
2023-10-17 00:00:00.000,TH28,5066798.9
2023-10-18 00:00:00.000,TH28,6465250.34
2023-10-19 00:00:00.000,TH28,4566551.27
2023-10-20 00:00:00.000,TH28,5209359.42
2023-10-21 00:00:00.000,TH28,6259296.32
2023-10-22 00:00:00.000,TH28,6706833.23
2023-10-23 00:00:00.000,TH28,5311752.1
2023-10-24 00:00:00.000,TH28,6284009.93
2023-10-25 00:00:00.000,TH28,5601512.69
2023-10-26 00:00:00.000,TH28,6013598.16
2023-10-27 00:00:00.000,TH28,6402293.63
2023-10-28 00:00:00.000,TH28,6646635.73
2023-10-29 00:00:00.000,TH28,8039674.94
2023-10-30 00:00:00.000,TH28,7753601.93
2023-10-31 00:00:00.000,TH28,6427540.44
2023-11-01 00:00:00.000,TH28,7847410.82
2023-11-02 00:00:00.000,TH28,6975199.17
2023-11-03 00:00:00.000,TH28,5534408.92
2023-11-04 00:00:00.000,TH28,7981731.62
2023-11-05 00:00:00.000,TH28,7268478.32
2023-11-06 00:00:00.000,TH28,6219600.86
2023-11-07 00:00:00.000,TH28,6747657.9
2023-11-08 00:00:00.000,TH28,5972746.97
2023-11-09 00:00:00.000,TH28,6601335.21
2023-11-10 00:00:00.000,TH28,6243527.76
2023-11-11 00:00:00.000,TH28,7908583.74
2023-11-12 00:00:00.000,TH28,6688050.6
2023-11-13 00:00:00.000,TH28,6241135.05
